skillName,goal
Core Loading,9
Phase Paper Insertion (VW),2
Lead Wire Setting,8
Neutral Tube Insertion,3
Neutral Crimp,7
Pre-Lacing,4
Lacing,5
Lead Terminal Crimp,6
Lead Wire Forming,1
