Station,REV.#
Core Loading,1
Phase Paper Insertion (VW),2
Phase Paper Insertion (UV),2
Lead Wire Setting,0
Neutral Tube Insertion,1
Neutral Crimp,3
Final Forming,1
Pre-Lacing,3
Lacing & CSV,2
Lead Wire Crimp,1
Lead Wire Forming,0
Tester I,1
Varnish In,3
Varnish Out 1,3
Varnish Out 2,0
Visual Inspection,2
Tester II,0
Packing,0
Pre-Assembly,0
Inspection & Packing,1
